nama_stasiun,Latitude,Longitude,Depth,Kecamatan,Kabupaten,Provinsi
ABSM,-3.4254,102.26295,-0.38,Argamakmur,Bengkulu Utara,Bengkulu
APSR,-0.89539,100.34677,0,Padang Utara,Padang,Sumatera Barat
APSSI,-3.932,102.465,-0.226,Talang Alai,Seluma,Bengkulu
BKASI,-0.202,100.318,-0.853,Baringin,Agam,Sumatera Barat
BKNI,0.3262,101.0396,-0.065,Bangkinang,Kampar,Riau
BLSM,-3.140218,102.8072,-0.067,Batukuning Lakitan Ulu,Musi Rawas,Sumatera Selatan
BMSI,-2.06641,102.31544,-0.135,Bangko,Merangin,Jambi
BOSM,-4.859183,104.020736,-0.64,Banding Agung,Ogan Komering Ulu Selatan,Sumatera Selatan
BPSM,-1.1924,100.58998,-0.11,Bayang,Pesisir Selatan,Sumatera Barat
BTSR,-3.81942,102.29994,-0.028,Bengkulu,Bengkulu Tengah,Bengkulu
DDSI,1.6675,101.4602,-0.076,Dumai Timur,Dumai,Riau
EGSI,-5.3526,102.2767,-0.03573,Enggano,Bengkulu Utara,Bengkulu
GSI,1.3039,97.5755,-0.107,Gunung Sitoli,Nias,Sumatera Utara
GTSI,-0.5981,101.4888,-0.009,Gunung Toar,Kuantan Singingi,Riau
HINSI,-0.54,98.499,-0.035,Hilioromao,Nias Selatan,Sumatera Utara
IHRSI,0.02,103.17,0,Indragiri Hilir,Indragiri Hilir,Riau
JASI,-1.41453,101.45838,-0.253,Sangir Balai Janggo,Solok Selatan,Sumatera Barat
JMBI,-1.6764,103.576,-0.0761,Jambi,Muaro Jambi,Jambi
JMSI,-2.63715,101.88745,-1.275,Jangkat,Merangin,Jambi
JPSI,-1.34164,100.58645,-0.038,Jurai,Pesisir Selatan,Sumatera Barat
KRJI,-2.0912,101.4619,-0.81088,Kerinci,Kerinci,Jambi
KSI,-3.6517,102.5929,-0.539,Kepahyang,Kepahiang,Bengkulu
LBTSI,-0.475,100.625,-0.417,Pagaruyung,Tanah Datar,Sumatera Barat
LHSM,-4.177973,103.574208,-1.494,Semendo,Lahat,Sumatera Selatan
LKSM,0.1845,100.6007,-0.186,Suliki,Lima Puluh Kota,Sumatera Barat
